ID,area,quartos,suites,vagas,preco
374408.00,138.00,4.00,1.00,2.00,750000.00
376035.00,127.00,3.00,1.00,2.00,750000.00
379991.00,138.00,4.00,1.00,2.00,750000.00
382844.00,180.00,4.00,1.00,2.00,750000.00
347551.00,150.00,4.00,1.00,3.00,750000.00
158968.00,160.00,4.00,1.00,2.00,760000.00
145061.00,87.13,3.00,1.00,2.00,765000.00
145063.00,87.13,3.00,1.00,2.00,775000.00
376741.00,160.00,4.00,1.00,2.00,780000.00
371888.00,146.89,4.00,1.00,3.00,800000.00
308728.00,187.00,4.00,2.00,2.00,800000.00
363363.00,292.56,5.00,0.00,2.00,850000.00
363507.00,210.00,4.00,1.00,2.00,850000.00
370527.00,127.00,4.00,1.00,2.00,850000.00
377230.00,127.22,4.00,1.00,2.00,850000.00
387964.00,190.00,4.00,1.00,2.00,850000.00
383975.00,150.00,4.00,1.00,2.00,850000.00
383939.00,235.85,4.00,1.00,2.00,860000.00
379708.00,138.00,4.00,1.00,3.00,860000.00
383625.00,128.53,4.00,1.00,3.00,870000.00
374670.00,150.00,4.00,1.00,2.00,890000.00
163058.00,199.00,4.00,1.00,2.00,895000.00
383507.00,130.00,4.00,1.00,2.00,930000.00
383531.00,130.00,4.00,1.00,2.00,950000.00
365332.00,182.10,4.00,2.00,3.00,960000.00
339390.00,168.00,3.00,1.00,3.00,980000.00
186724.00,210.00,4.00,1.00,3.00,1080000.00
174900.00,213.00,4.00,1.00,3.00,1100000.00
359139.00,266.00,4.00,1.00,2.00,1100000.00
353505.00,220.00,3.00,2.00,3.00,1250000.00
369604.00,400.00,4.00,0.00,2.00,1275000.00
382748.00,218.00,4.00,2.00,3.00,1300000.00
385545.00,158.00,4.00,0.00,3.00,1330000.00
370174.00,275.00,4.00,2.00,3.00,1450000.00
184660.00,320.00,4.00,1.00,4.00,1600000.00
387139.00,336.24,4.00,2.00,3.00,1650000.00
364715.00,178.00,4.00,2.00,4.00,1670000.00
364716.00,178.00,4.00,2.00,4.00,1670000.00
387928.00,162.00,4.00,3.00,4.00,1800000.00
374746.00,210.00,4.00,4.00,4.00,1800000.00
271639.00,340.00,4.00,2.00,4.00,2025000.00
362755.00,65.00,2.00,0.00,1.00,250000.00
373084.00,68.00,2.00,1.00,0.00,260000.00
369932.00,51.15,2.00,0.00,1.00,295000.00
176401.00,80.00,2.00,0.00,0.00,310000.00
385017.00,73.00,2.00,0.00,1.00,310000.00
346088.00,75.00,2.00,0.00,1.00,320000.00
352855.00,93.64,2.00,0.00,1.00,330000.00
370941.00,93.64,2.00,0.00,1.00,330000.00
373714.00,87.99,2.00,0.00,2.00,340000.00
384641.00,90.00,2.00,1.00,1.00,360000.00
340960.00,103.30,2.00,1.00,2.00,380000.00
374289.00,75.00,2.00,1.00,1.00,390000.00
377388.00,75.00,2.00,1.00,1.00,390000.00
387933.00,70.00,2.00,1.00,2.00,420000.00
369983.00,70.00,2.00,1.00,2.00,445000.00
119989.00,80.00,2.00,0.00,1.00,450000.00
